1748564247.212905,2.1831,2.0472,2.243,1.7662,1.8191,2.0254,2.1745,2.0332,2.0815,1.8798,1.7675,1.9663,1.3958,1.7267,2.0447
1748564247.327473,2.2508,2.1191,2.3195,1.8951,1.8634,2.0133,2.1535,2.0386,2.067,1.8734,1.7565,1.0858,1.5701,1.6276,1.875
1748564247.441686,2.2478,2.1202,2.3319,1.9016,1.8997,2.1347,2.3246,2.2269,2.294,1.8468,1.7476,2.0176,1.5854,1.6217,2.0968
1748564247.555029,2.2126,2.0799,2.3058,1.9682,1.9351,2.1551,2.304,2.1833,2.2814,1.8427,1.7409,2.0504,1.5599,1.5516,2.1014
1748564247.6698408,2.2054,2.0794,2.2768,1.8962,1.865,2.0622,2.2244,2.092,2.1594,1.811,1.6872,1.9505,1.4581,1.5865,2.0391
1748564247.782781,2.2191,2.1148,2.2782,1.8965,1.8696,2.0364,2.2134,2.0974,2.1283,1.8196,1.6856,1.8331,1.4782,1.4207,1.8922
1748564247.89919,2.2266,2.1269,2.2884,1.894,1.9088,2.0842,2.3074,2.2051,2.2696,1.7662,1.6176,1.8787,1.49,1.5669,1.9193
1748564248.010676,2.1645,2.0463,2.2352,1.8084,1.8272,2.0243,2.2148,2.1054,2.1522,1.7372,1.5765,1.8924,1.4718,1.6297,1.9744
1748564248.126847,2.1635,2.0232,2.2086,1.8422,1.8535,2.0241,2.2677,2.146,2.1965,1.8164,1.6246,1.8632,1.4205,1.6644,1.9663
1748564248.239315,2.1468,2.0326,2.1927,1.7936,1.8118,1.9722,2.2484,2.1471,2.2,1.7404,1.5317,1.7557,1.3933,1.4779,1.8492
1748564248.353739,2.1492,2.0447,2.2105,1.8129,1.8473,2.0109,2.1522,2.0493,2.0227,1.7006,1.4634,1.6389,1.4223,1.299,0.9563
1748564248.467934,2.1232,2.0361,2.1017,1.7168,1.7938,1.7758,1.9698,1.9204,1.8715,1.6354,1.4393,1.6012,1.3434,1.3622,1.0216
1748564248.582174,2.1014,2.0133,2.0614,1.702,1.7691,1.7369,1.9432,1.9045,1.8554,1.3369,1.3471,0.9858,1.2786,1.3743,0.9079
1748564248.696627,2.0901,2.0058,2.0619,1.6888,1.757,1.7396,1.9889,1.9475,1.9099,1.605,1.4428,1.5599,1.3127,1.4003,0.8942
1748564248.81019,2.0861,1.9985,2.0579,1.6791,1.7452,1.7358,2.0622,2.0292,2.016,1.6144,1.4745,1.5757,1.3418,1.4111,0.8929
1748564248.923379,2.0848,1.9958,2.0603,1.6665,1.7412,1.7288,2.0622,2.0206,2.0109,1.6375,1.5486,1.6026,1.338,1.4473,0.8926
1748564249.037289,2.0721,1.9811,2.0485,1.6652,1.727,1.7165,2.0856,2.0241,2.0251,1.6383,1.5612,1.6058,1.3479,1.4258,0.8921
1748564249.151627,2.153,2.0402,2.114,1.7538,1.8014,1.7998,2.232,2.1476,2.1659,1.7984,1.6977,1.731,1.4624,1.4747,0.8942
1748564249.266496,2.1288,2.0198,2.0958,1.7431,1.7839,1.7998,2.1672,2.0697,2.1474,1.8089,1.6902,1.8575,1.4347,1.5421,1.3799
1748564249.378718,2.1036,1.9991,2.0603,1.7135,1.7533,1.745,2.1409,2.0504,2.0622,1.7442,1.6386,1.6888,1.3917,1.4027,0.8926
1748564249.49279,2.1022,1.9926,2.0603,1.7138,1.757,1.7525,2.1487,2.0552,2.0823,1.7861,1.7385,1.745,1.4135,1.4532,0.8913
1748564249.606775,2.1017,1.9926,2.0598,1.7055,1.7476,1.7404,2.1213,2.0359,2.0515,1.775,1.7267,1.7305,1.4135,1.4403,0.8918
1748564249.720832,2.102,1.9883,2.0541,1.7082,1.7401,1.7347,2.1318,2.0418,2.0592,1.7807,1.7143,1.727,1.4135,1.4234,0.8905
1748564249.834867,2.0982,1.9907,2.0555,1.7165,1.745,1.7393,2.1197,2.0332,2.0498,1.7702,1.7012,1.7356,1.3912,1.4237,0.8916
1748564249.948902,2.0936,1.9838,2.0509,1.7734,1.8059,1.8008,2.1705,2.0896,2.114,1.767,1.7028,1.7294,1.3753,1.4495,0.9211
1748564250.0629609,2.0622,1.9625,2.0318,1.8062,1.8317,1.8186,2.1796,2.1087,2.1275,1.7949,1.7162,1.7487,1.3184,1.4591,0.8977
1748564250.1769679,2.0971,2.0015,2.0622,1.7928,1.818,1.8065,2.1699,2.1046,2.1269,1.7718,1.7076,1.7423,1.2545,1.4758,0.9211
1748564250.2925131,2.1046,2.0211,2.0864,1.7409,1.7726,1.8183,2.1747,2.0823,2.1597,1.8293,1.702,1.9099,1.2332,1.5207,1.0919
1748564250.4232252,2.113,1.9881,2.0681,1.7407,1.7554,1.9701,2.2102,2.0842,2.139,1.8341,1.7138,1.8696,1.219,1.6383,1.3901
1748564250.519047,2.0979,1.9843,2.1893,1.7442,1.7597,1.9851,2.218,2.1022,2.1549,1.8371,1.727,1.883,1.2099,1.5693,1.9612
1748564250.632776,2.1224,1.9676,2.179,1.742,1.7656,1.9738,2.2599,2.114,2.171,1.8701,1.7624,1.9432,1.2244,1.7839,2.0367
1748564250.7480729,2.196,2.0356,2.2438,1.8102,1.8438,2.0335,2.258,2.1151,2.196,1.742,1.7337,1.9558,1.471,1.865,2.0958
1748564250.8617768,2.1879,2.0482,2.2618,1.8438,1.8653,2.0558,2.24,2.1057,2.1882,1.6093,1.691,1.9741,1.5086,1.8446,2.1044
1748564250.976567,2.1793,2.034,2.2602,1.8186,1.8414,2.0617,2.2164,2.0888,2.164,1.5986,1.6123,1.9856,1.3291,1.8186,2.0979
